,match_api_id,season,date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,winner_id_label
2913,2030375,2015/2016,2016-01-30 00:00:00,8560,8603,2,1,79.0,71.0,76.0,80.0,66.0,77.0,79.0,81.0,77.0,60.0,79.0,77.0,72.0,71.0,72.0,71.0,71.0,75.0,75.0,70.0,74.0,79.0,1.67,3.75,5.5,1.7,3.5,5.0,1.8,3.5,4.2,1.67,3.6,5.25,1.69,3.95,5.64,1.75,3.5,5.0,1.7,3.9,5.4,1
2915,2030377,2015/2016,2016-02-01 00:00:00,9783,8370,2,2,67.0,74.0,75.0,77.0,75.0,72.0,76.0,75.0,73.0,75.0,78.0,70.0,56.0,77.0,76.0,75.0,80.0,70.0,72.0,72.0,76.0,73.0,1.91,3.6,4.0,1.85,3.5,4.1,1.9,3.45,3.8,1.85,3.5,4.0,1.89,3.73,4.47,1.85,3.4,4.5,1.93,3.7,4.1,0
2916,2030378,2015/2016,2016-02-06 00:00:00,8370,8306,2,0,70.0,56.0,70.0,76.0,77.0,80.0,78.0,76.0,72.0,72.0,73.0,75.0,74.0,72.0,72.0,69.0,73.0,74.0,69.0,69.0,77.0,71.0,1.91,3.6,4.0,1.91,3.4,4.0,1.9,3.45,3.8,1.85,3.6,4.0,1.91,3.79,4.3,1.91,3.5,4.0,1.9,3.75,4.2,1
2917,2030379,2015/2016,2016-02-07 00:00:00,9910,8302,1,1,76.0,76.0,77.0,73.0,71.0,77.0,76.0,77.0,77.0,71.0,78.0,76.0,77.0,79.0,77.0,73.0,80.0,79.0,79.0,79.0,82.0,80.0,3.2,3.3,2.3,3.0,3.4,2.35,2.75,3.2,2.5,3.1,3.3,2.3,3.23,3.47,2.37,3.1,3.1,2.4,3.13,3.4,2.4,0
2918,2030380,2015/2016,2016-02-07 00:00:00,8581,8634,0,2,73.0,74.0,75.0,75.0,75.0,75.0,75.0,72.0,78.0,77.0,76.0,83.0,84.0,85.0,83.0,84.0,78.0,85.0,88.0,94.0,90.0,90.0,15.0,7.5,1.18,13.0,7.0,1.2,13.0,5.8,1.2,15.0,7.0,1.18,18.95,8.2,1.18,17.0,6.0,1.2,19.0,8.0,1.17,-1
2919,2030381,2015/2016,2016-02-06 00:00:00,9906,8372,3,1,82.0,79.0,79.0,76.0,66.0,72.0,81.0,83.0,78.0,77.0,84.0,71.0,73.0,72.0,72.0,70.0,71.0,74.0,72.0,73.0,69.0,71.0,1.36,4.5,9.5,1.4,4.33,9.5,1.4,4.4,7.3,1.36,4.33,9.5,1.42,4.69,9.6,1.44,4.0,8.0,1.4,4.6,9.5,1
2920,2030382,2015/2016,2016-02-05 00:00:00,9864,8305,3,0,79.0,75.0,74.0,73.0,77.0,71.0,76.0,80.0,76.0,72.0,75.0,77.0,76.0,73.0,74.0,69.0,74.0,76.0,78.0,76.0,76.0,71.0,1.57,3.75,6.5,1.65,3.6,5.25,1.7,3.6,4.7,1.62,3.6,5.75,1.66,3.84,6.32,1.62,3.6,6.0,1.65,3.8,6.25,1
2921,2030383,2015/2016,2016-02-06 00:00:00,8315,10205,0,0,79.0,70.0,76.0,83.0,79.0,80.0,80.0,76.0,73.0,78.0,82.0,78.0,79.0,81.0,80.0,77.0,79.0,81.0,79.0,78.0,79.0,80.0,1.83,3.6,4.5,1.8,3.5,4.33,1.9,3.45,3.8,1.8,3.5,4.5,1.87,3.69,4.67,1.83,3.4,4.5,1.83,3.6,4.8,0
2922,2030384,2015/2016,2016-02-07 00:00:00,7878,8633,1,2,77.0,76.0,74.0,74.0,71.0,76.0,75.0,70.0,73.0,69.0,74.0,82.0,82.0,82.0,87.0,83.0,87.0,87.0,84.0,87.0,86.0,93.0,12.0,6.0,1.25,11.0,6.0,1.26,10.0,5.2,1.27,10.0,6.0,1.25,12.45,6.58,1.27,12.0,5.0,1.29,12.0,6.5,1.25,-1
2923,2030385,2015/2016,2016-02-08 00:00:00,8558,8560,0,5,70.0,76.0,76.0,76.0,71.0,77.0,66.0,74.0,75.0,73.0,75.0,79.0,72.0,76.0,80.0,66.0,75.0,81.0,79.0,77.0,63.0,79.0,2.7,3.1,2.8,2.7,3.1,2.8,2.6,3.2,2.6,2.7,3.0,2.75,2.71,3.21,2.94,2.7,3.1,2.7,2.7,3.25,2.88,-1
2924,2030386,2015/2016,2016-02-07 00:00:00,8603,10267,1,0,77.0,78.0,71.0,72.0,76.0,61.0,75.0,71.0,74.0,79.0,73.0,78.0,76.0,82.0,81.0,78.0,60.0,81.0,82.0,80.0,78.0,81.0,2.63,3.1,2.88,2.6,3.2,2.9,2.4,3.2,2.85,2.6,3.2,2.75,2.69,3.32,2.88,2.7,3.1,2.7,2.63,3.3,2.88,1
2926,2030388,2015/2016,2016-02-14 00:00:00,8302,8306,2,0,76.0,77.0,79.0,74.0,81.0,79.0,71.0,79.0,81.0,82.0,79.0,75.0,70.0,72.0,73.0,72.0,74.0,73.0,72.0,77.0,69.0,71.0,1.33,5.0,10.0,1.33,5.5,8.75,1.3,5.0,9.0,1.3,5.0,10.0,1.33,5.66,10.97,1.33,5.0,9.0,1.33,5.5,10.0,1
2927,2030389,2015/2016,2016-02-14 00:00:00,8634,9910,6,1,83.0,84.0,85.0,83.0,84.0,78.0,86.0,88.0,94.0,90.0,90.0,76.0,78.0,77.0,76.0,71.0,77.0,76.0,77.0,77.0,74.0,69.0,1.08,11.0,26.0,1.08,11.0,29.0,1.1,8.0,20.0,1.08,12.0,34.0,1.08,15.0,33.0,1.1,9.0,26.0,1.1,12.0,26.0,1
2928,2030390,2015/2016,2016-02-14 00:00:00,8372,8581,2,0,71.0,73.0,72.0,74.0,72.0,71.0,74.0,69.0,73.0,74.0,72.0,73.0,77.0,75.0,75.0,75.0,71.0,75.0,75.0,78.0,76.0,77.0,1.8,3.5,4.75,1.8,3.4,4.6,1.8,3.5,4.2,1.8,3.5,4.5,1.86,3.64,4.79,1.8,3.5,4.5,1.83,3.7,4.75,1
2929,2030391,2015/2016,2016-02-14 00:00:00,8305,9906,0,1,77.0,76.0,73.0,73.0,72.0,74.0,78.0,76.0,77.0,76.0,75.0,82.0,81.0,79.0,86.0,82.0,83.0,81.0,76.0,78.0,79.0,84.0,6.5,3.8,1.57,7.0,3.7,1.57,5.6,3.8,1.57,6.5,3.6,1.57,7.45,3.99,1.57,7.0,3.6,1.57,7.5,3.9,1.57,-1
2930,2030392,2015/2016,2016-02-13 00:00:00,10205,9864,1,0,78.0,79.0,81.0,80.0,77.0,79.0,79.0,81.0,78.0,78.0,80.0,79.0,75.0,74.0,78.0,74.0,73.0,80.0,75.0,71.0,72.0,75.0,2.05,3.3,3.8,2.1,3.3,3.7,1.9,3.45,3.8,2.05,3.1,3.8,2.12,3.32,4.04,2.1,3.1,3.8,2.1,3.3,4.0,1
2931,2030393,2015/2016,2016-02-13 00:00:00,8633,8315,4,2,82.0,81.0,82.0,87.0,82.0,87.0,87.0,78.0,87.0,86.0,93.0,79.0,80.0,77.0,83.0,79.0,80.0,81.0,73.0,73.0,70.0,82.0,1.29,6.0,9.5,1.28,6.0,9.5,1.25,5.5,10.3,1.29,6.0,8.5,1.31,6.1,10.48,1.3,5.0,11.0,1.33,6.0,9.5,1
2932,2030394,2015/2016,2016-02-14 00:00:00,8560,7878,3,0,79.0,71.0,76.0,75.0,72.0,79.0,77.0,81.0,77.0,63.0,79.0,77.0,71.0,74.0,74.0,73.0,75.0,76.0,70.0,73.0,70.0,75.0,1.53,4.0,6.5,1.62,3.6,5.75,1.6,3.7,5.4,1.6,3.8,5.75,1.61,4.2,6.15,1.62,3.6,6.0,1.57,4.2,6.5,1
2933,2030395,2015/2016,2016-02-13 00:00:00,10267,8558,2,1,82.0,75.0,80.0,81.0,78.0,82.0,79.0,81.0,79.0,78.0,80.0,70.0,76.0,76.0,73.0,73.0,77.0,73.0,75.0,66.0,70.0,78.0,1.75,3.6,5.0,1.78,3.6,4.75,1.85,3.45,4.0,1.73,3.6,4.75,1.77,3.78,5.26,1.8,3.3,5.0,1.75,3.8,5.0,1
